has_compiler_warning,has_array_bounds_warning,has_output_mismatch,has_crash,has_inconsistent_return_code,has_timeout,num_compile_warnings,num_runtime_failures,severity_label
0,0,1,0,0,1,0,0,HIGH
1,0,1,0,0,0,2,0,MEDIUM
0,1,1,1,1,0,2,1,HIGH
1,1,1,0,1,1,1,0,HIGH
1,1,0,1,1,1,2,1,HIGH
1,1,0,0,1,0,2,0,MEDIUM
0,0,0,1,1,0,2,1,HIGH
1,1,1,1,0,0,0,1,HIGH
1,1,0,1,1,0,1,1,HIGH
0,0,0,1,1,1,3,1,HIGH
0,0,0,0,0,0,0,0,LOW
1,0,1,0,0,0,2,0,MEDIUM
1,1,0,1,0,1,2,1,HIGH
0,0,0,0,0,0,0,0,LOW
1,0,1,1,1,0,2,1,HIGH
1,0,1,1,1,1,3,1,HIGH
1,1,1,0,1,0,3,0,MEDIUM
1,1,1,0,0,0,1,0,MEDIUM
1,1,0,1,1,1,1,1,HIGH
1,0,1,0,1,0,3,0,MEDIUM
1,0,1,0,1,1,2,0,HIGH
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
1,0,1,1,0,0,1,1,HIGH
0,0,0,0,1,0,0,0,MEDIUM
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
1,1,0,1,1,1,1,1,HIGH
1,0,0,0,0,0,3,0,MEDIUM
1,0,0,0,0,0,2,0,MEDIUM
0,1,0,1,1,0,0,1,HIGH
1,0,0,0,1,0,1,0,MEDIUM
1,0,1,0,0,0,1,0,MEDIUM
0,0,0,0,0,0,0,0,LOW
0,0,0,1,1,0,0,1,HIGH
1,1,0,0,1,0,1,0,MEDIUM
1,1,0,0,0,1,3,0,HIGH
1,1,1,1,0,0,3,1,HIGH
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
1,0,1,0,1,0,1,0,MEDIUM
0,0,0,0,0,0,0,0,LOW
1,0,1,1,1,0,1,1,HIGH
1,1,0,0,0,0,2,0,MEDIUM
0,0,0,0,0,0,0,0,LOW
1,1,1,1,1,0,3,1,HIGH
1,0,1,0,1,0,2,0,MEDIUM
1,1,0,0,0,1,3,0,HIGH
1,0,1,0,0,0,2,0,MEDIUM
1,1,0,0,1,1,3,0,HIGH
1,0,0,0,1,0,1,0,MEDIUM
1,1,1,0,0,0,2,0,MEDIUM
1,1,0,0,1,0,2,0,MEDIUM
0,0,0,0,0,0,0,0,LOW
0,0,0,0,0,0,0,0,LOW
1,0,0,1,0,0,0,1,HIGH
0,0,1,1,1,0,0,1,HIGH
0,1,1,1,0,0,3,1,HIGH
1,1,1,1,1,1,2,1,HIGH
0,0,0,0,0,0,0,0,LOW
1,0,1,1,0,0,2,1,HIGH
0,0,0,0,0,0,0,0,LOW
0,1,0,1,1,0,0,1,HIGH
